R0R0_entry_number_produces_repeat|valid_R0R0_entry_number,valid_sequence,count_consecutive_R0,valid_R0_produces_R0_general
repeat_R0_output_reaches_one|valid_R0R0_entry_number,sequence_end,collatz_step,is_even,div2_divmod_eq,repeat_R0_length,nth_sequence_value_app,nth_sequence_value,R0_pattern_closure
repeat_R0_output_one_when_n_one|valid_R0R0_entry_number,sequence_end,repeat_R0_output_reaches_one
repeat_R0_output_odd_if_n_odd|valid_R0R0_entry_number,sequence_end,repeat_R0,repeat_R0_output_reaches_one
sequence_end_valid_R0_prefix|valid_R0R0_entry_number,sequence_end,sequence_end_app,repeat_R0_output_reaches_one,R0_pattern_closure
repeat_R0_append_single|repeat_R0
build_k_steps_on_valid_R0R0_prefix|valid_R0R0_entry_number,build_k_steps,repeat_R0,sequence_end_valid_R0_prefix,valid_R0R0_entry_number_properties,sequence_end,repeat_R0_append_single
build_k_steps_on_valid_R0R0|valid_R0R0_entry_number,build_k_steps,repeat_R0,build_k_steps_on_valid_R0R0_prefix
build_k_steps_pattern_completeness|valid_R1R0_entry_number,build_k_steps,repeat_R1R0,valid_R0R0_entry_number,repeat_R0,complete_number_classification,build_k_steps_on_valid_R1R0,build_k_steps_on_valid_R0R0
repeat_R1R0_output_closed_form|sequence_end,sequence_end_valid_R1R0_prefix,valid_R1R0_entry_number_d0
pow3_minus1_twice_half|pow3_is_odd
repeat_R1R0_output_closed_form_no_div|sequence_end,repeat_R1R0_output_closed_form,pow3_minus1_twice_half
repeat_R1R0_output_upper_bound|sequence_end,repeat_R1R0_output_closed_form_no_div
repeat_R1R0_output_lower_bound_linear|sequence_end,repeat_R1R0_output_closed_form_no_div
repeat_R1R0_output_lower_bound_const|sequence_end,repeat_R1R0_output_closed_form_no_div
R1R0_bounds_summary|sequence_end,repeat_R1R0_output_lower_bound_linear,repeat_R1R0_output_lower_bound_const,repeat_R1R0_output_upper_bound
R1R0_power_iff|valid_R1R0_entry_number,pow3_ge1,repeat_R1R0_output_closed_form_no_div
R1R0_output_mod6|sequence_end,repeat_R1R0_output_closed_form_no_div
R1R0_output_set_iff|valid_R1R0_entry_number,R1R0_output_mod6,repeat_R1R0_output_closed_form_no_div
R0R0_input_ge_n|valid_R0R0_entry_number,pow2_ge_2
R0R0_output_exact_n|valid_R0R0_entry_number,sequence_end,repeat_R0_output_reaches_one
R0R0_output_bounds|valid_R0R0_entry_number,sequence_end,R0R0_output_exact_n,R0R0_input_ge_n
R0R0_output_minimal_when_one|valid_R0R0_entry_number,sequence_end
R0R0_bounds_summary|valid_R0R0_entry_number,sequence_end,R0R0_input_ge_n,R0R0_output_exact_n
build_k_steps_numeric_bounds_exists|build_k_steps,sequence_end,build_k_steps_pattern_completeness,repeat_R1R0_output_lower_bound_linear,repeat_R1R0_output_lower_bound_const,repeat_R1R0_output_upper_bound,R0R0_bounds_summary
power_2_even_property|
pow_cancel_lower|
pow2_times_odd_unique_le|pow_cancel_lower,power_2_even_property
pow2_times_odd_unique|pow2_times_odd_unique_le
valid_R1R0_entry_number_plus1|
R1R0_decomposition_unique|is_odd,valid_R1R0_entry_number,valid_R1R0_entry_number_plus1,pow2_times_odd_unique
R0R0_decomposition_unique|valid_R0R0_entry_number,is_odd,pow_cancel_lower,power_2_even_property
R0R0_canonical_factorization|is_odd,valid_R0R0_entry_number,is_even,power2_odd_decomposition
tighten_R1R0_strict_upper|pow3_pos
valid_R1R0_entry_number_is_odd|is_odd,valid_R1R0_entry_number_plus1,power_2_even_property
R0R0_branch_simplification|is_odd,valid_R0R0_entry_number,is_even,even_true_implies_even,even_ge_1_implies_ge_2,power2_odd_decomposition,pow2_times_odd_unique,even_false_implies_odd
build_k_steps_numeric_canonical|valid_R1R0_entry_number,build_k_steps,sequence_end,is_odd,valid_R0R0_entry_number,build_k_steps_numeric_bounds_exists,tighten_R1R0_strict_upper,valid_R1R0_entry_number_is_odd,R1R0_decomposition_unique,R0R0_canonical_factorization,R0R0_branch_simplification,build_k_steps_on_valid_R0R0,repeat_R0_output_reaches_one,R0R0_decomposition_unique
canonical_R1R0_d_log2_bound|valid_R1R0_entry_number,log2,log2_spec
canonical_R0R0_d_log2_bound|valid_R0R0_entry_number,log2,gt_0_2_pow,log2_spec
canonical_d_log2_global|log2,canonical_R1R0_d_log2_bound,log2_monotone,canonical_R0R0_d_log2_bound
odd_leads_R1R0_then_R0_pattern|sequence_end,is_even,build_k_steps,build_k_steps_numeric_canonical,repeat_R1R0_output_even,even_2x,build_k_steps_Sn,valid_R0R0_entry_number_properties,valid_R1R0_entry_number_odd,is_odd
even_leads_R0_then_R1R0_pattern|sequence_end,build_k_steps,build_k_steps_numeric_canonical,valid_R1R0_entry_number_properties,valid_R0R0_entry_number_properties,is_even,build_k_steps_Sn
R1R0_entry|valid_R1R0_entry_number,R0R0_entry,is_odd,valid_R0R0_entry_number,next_entry_from_R1R0,sequence_end,repeat_R1R0,is_even,build_k_steps,odd_leads_R1R0_then_R0_pattern,build_k_steps_numeric_canonical,valid_R1R0_entry_number_is_odd
R0R0_entry|is_odd,valid_R0R0_entry_number,next_entry_from_R1R0,R1R0_entry,sequence_end,repeat_R1R0,is_even,build_k_steps,odd_leads_R1R0_then_R0_pattern,build_k_steps_numeric_canonical,valid_R1R0_entry_number_is_odd
next_entry_from_R1R0|R1R0_entry,sequence_end,is_even,R0R0_entry,build_k_steps,odd_leads_R1R0_then_R0_pattern,build_k_steps_numeric_canonical,valid_R1R0_entry_number_is_odd,is_odd
next_entry_from_R0R0|R0R0_entry,sequence_end,is_odd,R1R0_entry,build_k_steps,even_leads_R0_then_R1R0_pattern,build_k_steps_numeric_canonical,valid_R0R0_entry_number_properties,is_even
canonical_chain|CollatzOp,repeat_R1R0,repeat_R0,sum_contributions,chains_to_sequence,length_repeat_R1R0
sum_contributions|chains_to_sequence,CollatzOp,canonical_chain,length_repeat_R1R0,repeat_R1R0
chains_to_sequence|CollatzOp,canonical_chain,length_repeat_R1R0,repeat_R1R0
length_repeat_R1R0|
count_R1_repeat_R1R0_plus_R0|repeat_R1R0
count_R0_repeat_R0_plus_R1R0|repeat_R0
count_R0_repeat_R1R0_plus_R0|repeat_R1R0
count_R1_repeat_R0_plus_R1R0|repeat_R0
count_operations_canonical_chain|count_operations,repeat_R1R0,count_R0_repeat_R1R0_plus_R0,count_R1_repeat_R1R0_plus_R0,repeat_R0,count_R0_repeat_R0_plus_R1R0,count_R1_repeat_R0_plus_R1R0
canonical_chain_R0_advantage|count_operations,count_operations_canonical_chain
count_repeat_R1R0|count_operations
count_repeat_R0|count_operations
count_operations_app|CollatzOp,count_operations
count_operations_chains_sequence|chains_to_sequence,sum_contributions,canonical_chain,count_operations_app,repeat_R1R0,count_repeat_R1R0,repeat_R0,count_repeat_R0
generalized_concatenated_chains_R0_advantage|chains_to_sequence,sum_contributions,count_operations_chains_sequence,count_operations_app,canonical_chain,count_operations_canonical_chain
extract_simple_chains|extract_simple_chains_nonempty
extract_simple_chains_nonempty|extract_simple_chains
extract_simple_chains_valid|
canonical_chains_to_sequence|canonical_chain,chains_to_sequence
generalized_valid_chains_sequence_R0_advantage|sequence_end,is_even,canonical_chain,sum_contributions,extract_simple_chains_nonempty,extract_simple_chains_valid,chains_to_sequence,generalized_concatenated_chains_R0_advantage,canonical_chains_to_sequence
